,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
3811,22-12-2008,3.25,3.75,1803500,3.9800000190734863,3.509999990463257,3.509999990463257,INCY
3812,23-12-2008,3.309999942779541,3.5699999332427983,756700,3.5899999141693115,3.470000028610229,3.470000028610229,INCY
3813,24-12-2008,3.390000104904175,3.5199999809265137,241100,3.5199999809265137,3.470000028610229,3.470000028610229,INCY
3814,26-12-2008,3.4100000858306885,3.490000009536743,275500,3.5499999523162837,3.4800000190734863,3.4800000190734863,INCY
3815,29-12-2008,3.1800000667572017,3.539999961853028,445200,3.539999961853028,3.240000009536743,3.240000009536743,INCY
3816,30-12-2008,3.2699999809265137,3.2799999713897705,653800,3.690000057220459,3.670000076293945,3.670000076293945,INCY
3817,31-12-2008,3.630000114440918,3.670000076293945,765900,3.839999914169312,3.7899999618530273,3.7899999618530273,INCY
3818,02-01-2009,3.7000000476837163,3.7999999523162837,745200,3.890000104904175,3.849999904632568,3.849999904632568,INCY
3819,05-01-2009,3.740000009536743,3.869999885559082,802900,3.9300000667572017,3.900000095367432,3.900000095367432,INCY
3820,06-01-2009,3.7899999618530273,3.9700000286102295,1671400,4.2100000381469735,3.9600000381469727,3.9600000381469727,INCY
3821,07-01-2009,3.7200000286102295,3.9500000476837163,1103300,4.010000228881837,3.849999904632568,3.849999904632568,INCY
3822,08-01-2009,3.7999999523162837,3.839999914169312,402600,4.079999923706056,4.079999923706056,4.079999923706056,INCY
3823,09-01-2009,3.7699999809265137,4.079999923706056,600600,4.130000114440918,3.7799999713897705,3.7799999713897705,INCY
3824,12-01-2009,3.619999885559082,3.759999990463257,896800,3.910000085830689,3.7899999618530273,3.7899999618530273,INCY
3825,13-01-2009,3.5999999046325684,3.7899999618530273,1846400,3.9300000667572017,3.9300000667572017,3.9300000667572017,INCY
3826,14-01-2009,3.7899999618530273,3.849999904632568,923500,3.9600000381469727,3.900000095367432,3.900000095367432,INCY
3827,15-01-2009,3.619999885559082,3.839999914169312,1098000,3.880000114440918,3.880000114440918,3.880000114440918,INCY
3828,16-01-2009,3.490000009536743,3.920000076293945,1075400,3.920000076293945,3.630000114440918,3.630000114440918,INCY
3829,20-01-2009,3.0799999237060547,3.559999942779541,1260900,3.7200000286102295,3.0799999237060547,3.0799999237060547,INCY
3830,21-01-2009,2.9600000381469727,3.2000000476837163,1017500,3.3499999046325684,3.3299999237060547,3.3299999237060547,INCY
3831,22-01-2009,2.900000095367432,3.2300000190734863,1832800,3.2300000190734863,3.0,3.0,INCY
3832,23-01-2009,2.789999961853028,2.9100000858306885,1483000,3.009999990463257,2.940000057220459,2.940000057220459,INCY
3833,26-01-2009,2.9100000858306885,2.940000057220459,600500,3.1700000762939453,3.059999942779541,3.059999942779541,INCY
3834,27-01-2009,3.039999961853028,3.059999942779541,443100,3.220000028610229,3.109999895095825,3.109999895095825,INCY
3835,28-01-2009,3.0799999237060547,3.1800000667572017,432800,3.2999999523162837,3.140000104904175,3.140000104904175,INCY
3836,29-01-2009,2.900000095367432,3.0199999809265137,673800,3.0999999046325684,2.9500000476837163,2.9500000476837163,INCY
3837,30-01-2009,2.900000095367432,3.0,409600,3.140000104904175,2.9300000667572017,2.9300000667572017,INCY
3838,02-02-2009,2.900000095367432,2.9200000762939453,495800,3.0899999141693115,2.990000009536743,2.990000009536743,INCY
3839,03-02-2009,3.009999990463257,3.009999990463257,779800,3.3299999237060547,3.309999942779541,3.309999942779541,INCY
3840,04-02-2009,3.25,3.2999999523162837,1045300,3.7300000190734863,3.4200000762939453,3.4200000762939453,INCY
3841,05-02-2009,3.220000028610229,3.380000114440918,715100,3.5299999713897705,3.440000057220459,3.440000057220459,INCY
3842,06-02-2009,3.4500000476837163,3.4500000476837163,745100,3.7000000476837163,3.640000104904175,3.640000104904175,INCY
3843,09-02-2009,3.4500000476837163,3.5999999046325684,553500,3.690000057220459,3.509999990463257,3.509999990463257,INCY
3844,10-02-2009,3.150000095367432,3.470000028610229,737200,3.4800000190734863,3.2699999809265137,3.2699999809265137,INCY
3845,11-02-2009,3.2100000381469727,3.2799999713897705,362200,3.380000114440918,3.380000114440918,3.380000114440918,INCY
3846,12-02-2009,3.2300000190734863,3.2999999523162837,534500,3.4800000190734863,3.4300000667572017,3.4300000667572017,INCY
3847,13-02-2009,3.289999961853028,3.359999895095825,435600,3.4200000762939453,3.309999942779541,3.309999942779541,INCY
3848,17-02-2009,3.109999895095825,3.2000000476837163,495500,3.309999942779541,3.150000095367432,3.150000095367432,INCY
3849,18-02-2009,2.9200000762939453,3.150000095367432,917800,3.2699999809265137,3.109999895095825,3.109999895095825,INCY
3850,19-02-2009,2.789999961853028,3.1700000762939453,924700,3.190000057220459,2.8299999237060547,2.8299999237060547,INCY
3851,20-02-2009,2.559999942779541,2.7699999809265137,857800,2.8299999237060547,2.559999942779541,2.559999942779541,INCY
3852,23-02-2009,2.549999952316284,2.5999999046325684,1117300,2.690000057220459,2.650000095367432,2.650000095367432,INCY
3853,24-02-2009,2.630000114440918,2.7100000381469727,1127900,2.789999961853028,2.690000057220459,2.690000057220459,INCY
3854,25-02-2009,2.5,2.6700000762939453,1410300,2.759999990463257,2.6700000762939453,2.6700000762939453,INCY
3855,26-02-2009,2.3299999237060547,2.7100000381469727,935700,2.7699999809265137,2.490000009536743,2.490000009536743,INCY
3856,27-02-2009,2.1800000667572017,2.4300000667572017,952000,2.5299999713897705,2.309999942779541,2.309999942779541,INCY
3857,02-03-2009,2.1199998855590816,2.220000028610229,1056800,2.299999952316284,2.2799999713897705,2.2799999713897705,INCY
3858,03-03-2009,2.1300001144409184,2.3399999141693115,657600,2.390000104904175,2.220000028610229,2.220000028610229,INCY
3859,04-03-2009,2.259999990463257,2.259999990463257,920300,2.470000028610229,2.4200000762939453,2.4200000762939453,INCY
3860,05-03-2009,2.0699999332427983,2.359999895095825,1302200,2.4100000858306885,2.150000095367432,2.150000095367432,INCY
3861,06-03-2009,2.0999999046325684,2.1800000667572017,771500,2.2699999809265137,2.1400001049041752,2.1400001049041752,INCY
3862,09-03-2009,2.049999952316284,2.1199998855590816,606500,2.289999961853028,2.049999952316284,2.049999952316284,INCY
3863,10-03-2009,2.0299999713897705,2.1099998950958248,591900,2.259999990463257,2.25,2.25,INCY
3864,11-03-2009,2.0799999237060547,2.259999990463257,509300,2.299999952316284,2.0799999237060547,2.0799999237060547,INCY
3865,12-03-2009,2.0699999332427983,2.1099998950958248,646000,2.400000095367432,2.380000114440918,2.380000114440918,INCY
3866,13-03-2009,2.240000009536743,2.390000104904175,714700,2.470000028610229,2.4200000762939453,2.4200000762939453,INCY
3867,16-03-2009,2.1700000762939453,2.490000009536743,636900,2.490000009536743,2.190000057220459,2.190000057220459,INCY
3868,17-03-2009,2.0799999237060547,2.190000057220459,726200,2.3199999332427983,2.200000047683716,2.200000047683716,INCY
3869,18-03-2009,2.190000057220459,2.2300000190734863,897800,2.390000104904175,2.3499999046325684,2.3499999046325684,INCY
3870,19-03-2009,2.289999961853028,2.400000095367432,1052700,2.5799999237060547,2.490000009536743,2.490000009536743,INCY
3871,20-03-2009,2.2799999713897705,2.5199999809265137,715100,2.539999961853028,2.299999952316284,2.299999952316284,INCY
3872,23-03-2009,2.3299999237060547,2.390000104904175,827300,2.539999961853028,2.5299999713897705,2.5299999713897705,INCY
3873,24-03-2009,2.3199999332427983,2.490000009536743,1432400,2.509999990463257,2.3399999141693115,2.3399999141693115,INCY
3874,25-03-2009,2.2699999809265137,2.369999885559082,623600,2.5,2.450000047683716,2.450000047683716,INCY
3875,26-03-2009,2.380000114440918,2.490000009536743,1453000,2.5,2.490000009536743,2.490000009536743,INCY
3876,27-03-2009,2.2699999809265137,2.440000057220459,1080200,2.4600000381469727,2.289999961853028,2.289999961853028,INCY
3877,30-03-2009,2.150000095367432,2.220000028610229,467100,2.2799999713897705,2.2300000190734863,2.2300000190734863,INCY
3878,31-03-2009,2.1800000667572017,2.259999990463257,1322700,2.5,2.3399999141693115,2.3399999141693115,INCY
3879,01-04-2009,2.2100000381469727,2.299999952316284,603900,2.309999942779541,2.2300000190734863,2.2300000190734863,INCY
3880,02-04-2009,2.259999990463257,2.289999961853028,812400,2.4800000190734863,2.390000104904175,2.390000104904175,INCY
3881,03-04-2009,2.3199999332427983,2.390000104904175,418700,2.4200000762939453,2.390000104904175,2.390000104904175,INCY
3882,06-04-2009,2.259999990463257,2.3499999046325684,369700,2.4200000762939453,2.2799999713897705,2.2799999713897705,INCY
3883,07-04-2009,2.200000047683716,2.25,430400,2.3399999141693115,2.2100000381469727,2.2100000381469727,INCY
3884,08-04-2009,2.2100000381469727,2.220000028610229,355500,2.3499999046325684,2.3199999332427983,2.3199999332427983,INCY
3885,09-04-2009,2.380000114440918,2.380000114440918,791400,2.650000095367432,2.650000095367432,2.650000095367432,INCY
3886,13-04-2009,2.4600000381469727,2.5999999046325684,430300,2.640000104904175,2.4800000190734863,2.4800000190734863,INCY
